uniprotswissprot,Symbol,logFC,t,P.Value,adj.P.Val,B,DEG,DEG_up,DEG_down,sig,UniProt,Subcellular.location..CC.,Intramembrane,Topological.domain,Transmembrane
P01717,IGLV3-25,-371310479935566,"-13,53427401",0,0,"-4,59511985",TRUE,FALSE,TRUE,significant,,"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",,,
P01742,IGHV1-69,-159974963147544,"-5,031480267","0,0000008522448597","0,00002410592591","-4,59511985",TRUE,FALSE,TRUE,significant,,"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",,,
P01834,IGKC,365337483505146,"10,67634059",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,,"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",,,
P01848,TRAC,-297813430266217,"-4,78633159","0,000002702993989","0,00006764221406","-4,59511985",TRUE,FALSE,TRUE,significant,,SUBCELLULAR LOCATION: Cell membrane {ECO:0000303|PubMed:20452950}.,,TOPO_DOM 139..140; /note=Cytoplasmic; /evidence=ECO:0000255,"TRANSMEM 116..138; /note=Helical; /evidence=ECO:0000255, ECO:0000269|PubMed:27791034"
P08174,CD55,326509814937839,"7,13469778",0,"0,0000000006182261935","-4,59511985",TRUE,TRUE,FALSE,significant,P08174,"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane; Lipid-anchor, GPI-anchor.; SUBCELLULAR LOCATION: [Isoform 3]: Secreted {ECO:0000269|PubMed:16503113}.; SUBCELLULAR LOCATION: [Isoform 4]: Secreted {ECO:0000269|PubMed:16503113}.; SUBCELLULAR LOCATION: [Isoform 5]: Secreted {ECO:0000269|PubMed:16503113}.; SUBCELLULAR LOCATION: [Isoform 6]: Cell membrane {ECO:0000305|PubMed:16503113}; Lipid-anchor, GPI-anchor {ECO:0000305|PubMed:16503113}.; SUBCELLULAR LOCATION: [Isoform 7]: Cell membrane {ECO:0000305|PubMed:16503113}; Lipid-anchor, GPI-anchor {ECO:0000305|PubMed:16503113}.",,,
P01857,IGHG1,-139004173653198,"-3,469907605","0,0005992353549","0,007463035048","-4,59511985",TRUE,FALSE,TRUE,significant,,"SUBCELLULAR LOCATION: [Isoform 1]: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}; Single-pass membrane protein {ECO:0000255}.",,TOPO_DOM 1..350; /note=Extracellular; /evidence=ECO:0000305; TOPO_DOM 372..399; /note=Cytoplasmic; /evidence=ECO:0000305,TRANSMEM 351..371; /note=Helical; /evidence=ECO:0000255
P01920,HLA-DQB1,225389878889759,"4,081298333","0,00005786362512","0,0009932019244","-4,59511985",TRUE,TRUE,FALSE,significant,Q5SU54,"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Endoplasmic reticulum membrane; Single-pass type I membrane protein. Golgi apparatus, trans-Golgi network membrane; Single-pass type I membrane protein. Endosome membrane; Single-pass type I membrane protein. Lysosome membrane; Single-pass type I membrane protein. Note=The MHC class II complex transits through a number of intracellular compartments in the endocytic pathway until it reaches the cell membrane for antigen presentation.",,TOPO_DOM 33..230; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 252..261; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 231..251; /note=Helical; /evidence=ECO:0000255
Q3V6T2,CCDC88A,312658546644118,"15,20863036",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,O14997,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:15882442, ECO:0000269|PubMed:16139227, ECO:0000269|PubMed:27864364}; Peripheral membrane protein {ECO:0000305}. Cytoplasm, cytosol {ECO:0000269|PubMed:15882442, ECO:0000269|PubMed:27864364}. Cytoplasmic vesicle {ECO:0000269|PubMed:15749703, ECO:0000269|PubMed:15882442, ECO:0000269|PubMed:16139227}. Cell projection, lamellipodium {ECO:0000269|PubMed:15882442}. Cytoplasm, cytoskeleton, cilium basal body {ECO:0000269|PubMed:27623382}. Cytoplasm, cytoskeleton, microtubule organizing center, centrosome, centriole {ECO:0000269|PubMed:27623382}. Note=Localizes to the cytosol in unstimulated cells while EGF stimulation promotes membrane localization and guanine nucleotide exchange factor activity (PubMed:27864364). Localizes to the cell membrane through interaction with phosphoinositides (PubMed:16139227, PubMed:15882442). {ECO:0000269|PubMed:15882442, ECO:0000269|PubMed:16139227, ECO:0000269|PubMed:27864364}.",,,
P05109,S100A8,133052400819301,"3,498849991","0,0005401586668","0,006854809748","-4,59511985",TRUE,TRUE,FALSE,significant,P05109,"SUBCELLULAR LOCATION: Secreted. Cytoplasm. Cytoplasm, cytoskeleton. Cell membrane; Peripheral membrane protein. Note=Predominantly localized in the cytoplasm. Upon elevation of the intracellular calcium level, translocated from the cytoplasm to the cytoskeleton and the cell membrane. Upon neutrophil activation or endothelial adhesion of monocytes, is secreted via a microtubule-mediated, alternative pathway.",,,
P06127,CD5,158873655321229,"10,95405347",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,P06127,SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.,,TOPO_DOM 25..372; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 403..495; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 373..402; /note=Helical; /evidence=ECO:0000255
P06703,S100A6,-187611598849370,"-5,915327346","0,000000009258561785","0,0000004154973565","-4,59511985",TRUE,FALSE,TRUE,significant,P06703,SUBCELLULAR LOCATION: Nucleus envelope. Cytoplasm. Cell membrane; Peripheral membrane protein; Cytoplasmic side.,,,
P41220,RGS2,305075066178339,"5,157724237","0,0000004622509157","0,00001390734684","-4,59511985",TRUE,TRUE,FALSE,significant,A0A024R939,"SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane {ECO:0000269|PubMed:11278586, ECO:0000269|PubMed:17901199, ECO:0000269|PubMed:28784619}. Cytoplasm {ECO:0000269|PubMed:11278586, ECO:0000269|PubMed:17901199}. Nucleus, nucleolus {ECO:0000269|PubMed:11278586, ECO:0000269|PubMed:17901199}.; SUBCELLULAR LOCATION: [Isoform 2]: Cell membrane {ECO:0000269|PubMed:17901199}. Cytoplasm {ECO:0000269|PubMed:17901199}. Nucleus, nucleolus {ECO:0000269|PubMed:17901199}.; SUBCELLULAR LOCATION: [Isoform 3]: Cell membrane {ECO:0000269|PubMed:17901199}. Cytoplasm {ECO:0000269|PubMed:17901199}. Nucleus, nucleolus {ECO:0000269|PubMed:17901199}.; SUBCELLULAR LOCATION: [Isoform 4]: Cell membrane {ECO:0000269|PubMed:17901199}. Mitochondrion {ECO:0000269|PubMed:17901199}.",,,
Q9NX76,CMTM6,300605141325385,"5,309011379","0,0000002186954743","0,000007083793327","-4,59511985",TRUE,TRUE,FALSE,significant,Q9NX76,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:28813410, ECO:0000269|PubMed:28813417}; Multi-pass membrane protein {ECO:0000255}. Early endosome membrane {ECO:0000269|PubMed:28813417}; Multi-pass membrane protein {ECO:0000255}. Recycling endosome membrane {ECO:0000269|PubMed:28813417}; Multi-pass membrane protein {ECO:0000255}. Note=Co-localizes with PD-L1/CD274 in the plasma membrane and in recycling endosomes. {ECO:0000269|PubMed:28813417}.",,TOPO_DOM 1..39; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:28813410; TOPO_DOM 61..67; /note=Extracellular; /evidence=ECO:0000305|PubMed:28813410; TOPO_DOM 89..106; /note=Cytoplasmic; /evidence=ECO:0000305|PubMed:28813410; TOPO_DOM 128..134; /note=Extracellular; /evidence=ECO:0000305|PubMed:28813410; TOPO_DOM 156..183; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:28813410,TRANSMEM 40..60; /note=Helical; /evidence=ECO:0000255; TRANSMEM 68..88; /note=Helical; /evidence=ECO:0000255; TRANSMEM 107..127; /note=Helical; /evidence=ECO:0000255; TRANSMEM 135..155; /note=Helical; /evidence=ECO:0000255
O95980,RECK,288429785499467,"5,050457653","0,0000007779477339","0,00002239876038","-4,59511985",TRUE,TRUE,FALSE,significant,A8K9D8,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:30026314, ECO:0000269|PubMed:9789069}; Lipid-anchor, GPI-anchor {ECO:0000269|PubMed:9789069}.",,,
P60033,CD81,260307984756426,"3,89487114","0,0001218631569","0,001875338582","-4,59511985",TRUE,TRUE,FALSE,significant,E9PJK1,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:1383329, ECO:0000269|PubMed:1695320, ECO:0000269|PubMed:20237408, ECO:0000269|PubMed:22307619, ECO:0000269|PubMed:2398277, ECO:0000269|PubMed:26354436}; Multi-pass membrane protein {ECO:0000255}. Basolateral cell membrane {ECO:0000269|PubMed:20375010}; Multi-pass membrane protein {ECO:0000255}. Note=Associates with CLDN1 and the CLDN1-CD81 complex localizes to the basolateral cell membrane. {ECO:0000269|PubMed:20375010}.",,"TOPO_DOM 1..12; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:27881302, ECO:0000305|PubMed:1860863; TOPO_DOM 34..63; /note=Extracellular; /evidence=ECO:0000269|PubMed:27881302; TOPO_DOM 85..89; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:27881302; TOPO_DOM 113..201; /note=Extracellular; /evidence=ECO:0000269|PubMed:27881302; TOPO_DOM 225..236; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:27881302, ECO:0000305|PubMed:1860863",TRANSMEM 13..33; /note=Helical; /evidence=ECO:0000269|PubMed:27881302; TRANSMEM 64..84; /note=Helical; /evidence=ECO:0000269|PubMed:27881302; TRANSMEM 90..112; /note=Helical; /evidence=ECO:0000269|PubMed:27881302; TRANSMEM 202..224; /note=Helical; /evidence=ECO:0000269|PubMed:27881302
P09769,FGR,-449390119210681,"-8,306315497",0,0,"-4,59511985",TRUE,FALSE,TRUE,significant,P09769,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000305}; Lipid-anchor {ECO:0000305}; Cytoplasmic side {ECO:0000305}. Cell membrane; Peripheral membrane protein; Cytoplasmic side. Cell projection, ruffle membrane. Cytoplasm, cytosol. Cytoplasm, cytoskeleton. Mitochondrion inner membrane {ECO:0000250}. Mitochondrion intermembrane space {ECO:0000250}. Note=Detected in mitochondrial intermembrane space and at inner membranes (By similarity). Colocalizes with actin fibers at membrane ruffles. Detected at plasma membrane lipid rafts. {ECO:0000250}.",,,
P0DP09,IGKV1D-13,329284178050601,"6,095222937","0,000000003451729103","0,0000001722219868","-4,59511985",TRUE,TRUE,FALSE,significant,,"SUBCELLULAR LOCATION: Secreted {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}. Cell membrane {ECO:0000303|PubMed:20176268, ECO:0000303|PubMed:22158414}.",,,
Q86T03,PIP4P1,238911732674981,"3,761928997","0,0002037626081","0,002933378192","-4,59511985",TRUE,TRUE,FALSE,significant,Q86T03,"SUBCELLULAR LOCATION: Late endosome membrane {ECO:0000269|PubMed:16365287}; Multi-pass membrane protein {ECO:0000255}. Lysosome membrane {ECO:0000269|PubMed:16365287}; Multi-pass membrane protein {ECO:0000255}. Cytoplasmic vesicle, phagosome membrane {ECO:0000250|UniProtKB:Q3TWL2}; Multi-pass membrane protein {ECO:0000255}. Cell membrane {ECO:0000250|UniProtKB:Q3TWL2}; Multi-pass membrane protein {ECO:0000255}.",,,TRANSMEM 212..232; /note=Helical; /evidence=ECO:0000255; TRANSMEM 242..262; /note=Helical; /evidence=ECO:0000255
Q8N8Q9,NIPA2,234178732719351,"3,903135164","0,0001179750061","0,001818988914","-4,59511985",TRUE,TRUE,FALSE,significant,A0A024R372,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25347071}; Multi-pass membrane protein {ECO:0000255}. Early endosome {ECO:0000250|UniProtKB:Q9JJC8}. Note=Recruited to the cell membrane in response to low extracellular magnesium. {ECO:0000250|UniProtKB:Q9JJC8}.,,TOPO_DOM 1..9; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 31..56; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 78; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 100..107; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 129..149; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 171..175; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 197..215; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 237..246; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 268..278; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 300..360; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 10..30; /note=Helical; /evidence=ECO:0000255; TRANSMEM 57..77; /note=Helical; /evidence=ECO:0000255; TRANSMEM 79..99; /note=Helical; /evidence=ECO:0000255; TRANSMEM 108..128; /note=Helical; /evidence=ECO:0000255; TRANSMEM 150..170; /note=Helical; /evidence=ECO:0000255; TRANSMEM 176..196; /note=Helical; /evidence=ECO:0000255; TRANSMEM 216..236; /note=Helical; /evidence=ECO:0000255; TRANSMEM 247..267; /note=Helical; /evidence=ECO:0000255; TRANSMEM 279..299; /note=Helical; /evidence=ECO:0000255
Q96IZ2,ADTRP,229375063154928,"7,292711412",0,"0,0000000002446658505","-4,59511985",TRUE,TRUE,FALSE,significant,Q96IZ2,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:21868574, ECO:0000269|PubMed:27018888}; Multi-pass membrane protein {ECO:0000255}. Note=Colocalized with TFPI and CAV1 in lipid rafts. {ECO:0000269|PubMed:21868574}.",,TOPO_DOM 1..3; /note=Cytoplasmic; /evidence=ECO:0000305|PubMed:27018888; TOPO_DOM 25..46; /note=Extracellular; /evidence=ECO:0000305|PubMed:27018888; TOPO_DOM 68..85; /note=Cytoplasmic; /evidence=ECO:0000305|PubMed:27018888; TOPO_DOM 107..119; /note=Extracellular; /evidence=ECO:0000305|PubMed:27018888; TOPO_DOM 141..154; /note=Cytoplasmic; /evidence=ECO:0000305|PubMed:27018888; TOPO_DOM 176..189; /note=Extracellular; /evidence=ECO:0000305|PubMed:27018888; TOPO_DOM 211..230; /note=Cytoplasmic; /evidence=ECO:0000305|PubMed:27018888,TRANSMEM 4..24; /note=Helical; /evidence=ECO:0000255; TRANSMEM 47..67; /note=Helical; /evidence=ECO:0000255; TRANSMEM 86..106; /note=Helical; /evidence=ECO:0000255; TRANSMEM 120..140; /note=Helical; /evidence=ECO:0000255; TRANSMEM 155..175; /note=Helical; /evidence=ECO:0000255; TRANSMEM 190..210; /note=Helical; /evidence=ECO:0000255
P11836,MS4A1,210015198884658,"4,24734912","0,00002911907818","0,0005529871277","-4,59511985",TRUE,TRUE,FALSE,significant,A0A024R507,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:12920111, ECO:0000269|PubMed:22615937}; Multi-pass membrane protein {ECO:0000269|PubMed:22615937}. Cell membrane {ECO:0000269|PubMed:22615937}; Lipid-anchor {ECO:0000269|PubMed:22615937}. Note=Constitutively associated with membrane rafts. {ECO:0000269|PubMed:12920111}.",,TOPO_DOM 1..56; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 79..84; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 106..120; /note=Cytoplasmic; /evidence=ECO:0000255; TOPO_DOM 142..188; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 210..297; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 57..78; /note=Helical; /evidence=ECO:0000255; TRANSMEM 85..105; /note=Helical; /evidence=ECO:0000255; TRANSMEM 121..141; /note=Helical; /evidence=ECO:0000255; TRANSMEM 189..209; /note=Helical; /evidence=ECO:0000255
P16410,CTLA4,206173505905848,"10,50192216",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,P16410,"SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:18468488, ECO:0000269|PubMed:28484017}; Single-pass type I membrane protein {ECO:0000269|PubMed:18468488, ECO:0000269|PubMed:28484017}. Note=Exists primarily an intracellular antigen whose surface expression is tightly regulated by restricted trafficking to the cell surface and rapid internalization.",,TOPO_DOM 36..161; /note=Extracellular; /evidence=ECO:0000305|PubMed:28484017; TOPO_DOM 183..223; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 162..182; /note=Helical; /evidence=ECO:0000255
Q08209,PPP3CA,204912822847392,"6,411122732","0,0000000005797101525","0,00000003449490115","-4,59511985",TRUE,TRUE,FALSE,significant,A0A0S2Z4C6,"SUBCELLULAR LOCATION: Cytoplasm {ECO:0000269|PubMed:19154138, ECO:0000269|PubMed:22343722}. Cell membrane {ECO:0000269|PubMed:22343722, ECO:0000269|PubMed:28881575}; Peripheral membrane protein {ECO:0000269|PubMed:22343722}. Cell membrane, sarcolemma {ECO:0000250|UniProtKB:P63329}. Cytoplasm, myofibril, sarcomere, Z line {ECO:0000250|UniProtKB:P63329}. Cell projection, dendritic spine {ECO:0000269|PubMed:22343722}. Note=Colocalizes with ACTN1 and MYOZ2 at the Z line in heart and skeletal muscle (By similarity). Recruited to the cell membrane by scaffold protein AKAP5 following L-type Ca(2+)-channel activation (PubMed:22343722). {ECO:0000250|UniProtKB:P63329, ECO:0000269|PubMed:22343722}.",,,
P78562,PHEX,189193023181345,"6,42423169","0,0000000005375939313","0,00000003271584887","-4,59511985",TRUE,TRUE,FALSE,significant,B4DWG8,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:9593714}; Single-pass type II membrane protein {ECO:0000269|PubMed:9593714}.,,TOPO_DOM 1..20; /note=Cytoplasmic; /evidence=ECO:0000269|PubMed:9593714; TOPO_DOM 42..641; /note=Extracellular; /evidence=ECO:0000269|PubMed:9593714,TRANSMEM 21..41; /note=Helical; Signal-anchor for type II membrane protein; /evidence=ECO:0000269|PubMed:9593714
P19256,CD58,101341136561671,"5,683538506","0,0000000319633173","0,000001277419542","-4,59511985",TRUE,TRUE,FALSE,significant,P19256,SUBCELLULAR LOCATION: [Isoform 1]: Cell membrane; Single-pass type I membrane protein.,,TOPO_DOM 29..215; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 239..250; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 216..238; /note=Helical; /evidence=ECO:0000255
Q13873,BMPR2,175659761462258,"12,59420994",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,Q13873,SUBCELLULAR LOCATION: Cell membrane {ECO:0000269|PubMed:25187962}; Single-pass type I membrane protein.,,TOPO_DOM 27..150; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 172..1038; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 151..171; /note=Helical; /evidence=ECO:0000255
P20036,HLA-DPA1,443729620034283,"7,721873326",0,0,"-4,59511985",TRUE,TRUE,FALSE,significant,P20036,"SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein. Endoplasmic reticulum membrane; Single-pass type I membrane protein. Golgi apparatus, trans-Golgi network membrane; Single-pass type I membrane protein. Endosome membrane; Single-pass type I membrane protein. Lysosome membrane; Single-pass type I membrane protein. Note=The MHC class II complex transits through a number of intracellular compartments in the endocytic pathway until it reaches the cell membrane for antigen presentation.",,TOPO_DOM 29..222; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 246..260; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 223..245; /note=Helical; /evidence=ECO:0000255
P20273,CD22,157911161396364,"6,070658489","0,000000003954582001","0,0000001937021781","-4,59511985",TRUE,TRUE,FALSE,significant,P20273,SUBCELLULAR LOCATION: Cell membrane; Single-pass type I membrane protein.,,TOPO_DOM 20..687; /note=Extracellular; /evidence=ECO:0000255; TOPO_DOM 707..847; /note=Cytoplasmic; /evidence=ECO:0000255,TRANSMEM 688..706; /note=Helical; /evidence=ECO:0000255
